SampleID	Sample	Replicate	Extraction	collection_date	latitude	longitude	AirTemperature_C	SoilTemperature_to10cm	FireFront	Classification	DateFire_Elick2011	OrganicMatter_500	NO3N_ppm	NH4N-ppm	pH	SulfateSulfur_ppm	K_ppm	Ca_ppm	Mg_ppm	Fe_ppm
C01	C01	R1	D01	10/5/14	40 47.926	076 20.357	8	14.1	Front2	Recovered	1982	3.9	0.7	2.2	4.7	1	35	194	61	48.6
C02	C02	R1	D01	10/5/14	40 47.939	076 20.357	6	13.6	Front2	Recovered	1980	6.5	0.6	2.5	4.2	55	28	59	19	59.5
C03	C03	R1	D01	10/5/14	40 47.881	076 20.468	7	14.7	Front2	Recovered	2002	48.9	0.3	3.2	4.5	4	31	1416	241	54.7
C04	C04	R1	D01	10/5/14	40 47.870	076 20.489	5.5	13.3	Front2	Recovered	1999	12.8	0.8	5	4.6	23	34	103	46	167.2
C05	C05	R1	D01	10/5/14	40 47.831	076 20.572	6.5	14	Front2	Recovered	2009	25.4	5.7	5	4.1	6	43	63	43	164.5
C06	C06	R1	D01	10/5/14	40 47.849	076 20.506	10.8	24.1	Front2	FireAffected	2014	11.9	0.8	3.2	4.7	4	46	111	52	75.6
C07	C07	R1	D01	10/5/14	40 48.086	076 20.736	9.1	13.5	Front1	Recovered	2005	6	0.7	4	4.6	14	40	78	37	108.9
C08	C08	R1	D01	10/5/14	40 48.084	076 20.765	8.5	12.6	Reference	Reference	NA	3.8	0.6	2.9	6	8	27	691	167	76.5
C09	C09	R1	D04	10/5/14	40 48.065	076 20.681	9.3	34.2	Front1	FireAffected	2009	3.2	3.1	2.7	4.1	75	48	88	38	16.2
C10	C10	R1	D01	10/5/14	40 48.062	076 20.582	11	54.2	Front1	FireAffected	2007	24.5	98.4	120.6	4	21	57	245	70	508
C11	C11	R1	D01	10/6/14	40 48.075	076 20.588	10.2	21.1	Front1	FireAffected	2009	5.7	0.5	2.5	4.7	8	30	102	37	80.6
C12	C12	R1	D01	10/6/14	40 48.078	076 20.589	10.2	32	Front1	FireAffected	2009	6	0.2	2	4.8	7	24	51	30	150.3
C13	C13	R1	D10	10/6/14	40 48.070	076 20.574	13.3	57.4	Front1	FireAffected	2009	7.1	4.6	1.7	8	28	37	2545	114	67.1
C14	C14	R1	D01	10/6/14	40 48.040	076 20.469	14.6	34.1	Front1	FireAffected	2002	21.9	0.9	2.7	5	5	58	394	64	102.7
C15	C15	R1	D01	10/6/14	40 48.045	076 20.489	14.6	38.9	Front1	FireAffected	2002	9.6	1.1	4	5.2	13	44	224	50	93.3
C16	C16	R1	D01	10/6/14	40 48.048	076 20.487	13.7	21.7	Front1	FireAffected	2002	10.6	0.5	1.2	5.6	8	33	497	56	80.8
C17	C17	R1	D01	10/6/14	40 47.998	076 20.416	11.7	12.1	Front1	Reference	NA	6.1	0.1	3.3	5.7	6	99	652	73	48.6
C18	C18	R1	D04	10/6/14	40 48.055	076 20.260	15.4	13.3	Front1	Recovered	1980	8.2	0.3	4.1	4.4	10	49	130	59	76.1
