MA1S1_0.03	MA1S2_0.03	MA1S3_0.03	MB3S1_0.03	MB3S2_0.03	MB3S3_0.03	MA1S1_0.1	MA1S2_0.1	MA1S3_0.1	MB3S1_0.1	MB3S2_0.1	MB3S3_0.1
301	301	301	301	301	301	113	113	113	113	113	113
2	1	0	1	1	0	6	6	3	1	1	2
0	1	0	0	0	0	0	1	1	0	0	0
0	1	0	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	2	0	1	0	1
3	2	0	0	0	0	3	2	0	0	0	0
1	3	0	0	0	1	1	3	0	2	0	1
1	3	0	0	0	0	4	8	6	3	11	5
0	1	0	0	0	0	0	2	1	0	0	0
0	2	0	1	1	1	1	2	1	1	2	1
3	7	1	3	1	0	3	7	2	3	1	0
0	1	2	1	1	0	13	5	7	1	2	2
0	1	0	0	0	0	1	2	6	7	6	4
0	1	1	0	0	0	1	2	0	0	0	0
0	1	0	0	1	0	2	2	1	1	0	1
0	1	0	0	0	0	2	2	1	0	0	0
1	1	0	0	0	0	0	1	0	0	0	0
2	1	0	0	0	0	1	1	1	0	0	0
0	1	0	0	0	0	1	2	2	0	0	1
0	1	0	0	0	0	0	1	0	0	0	0
5	3	4	0	0	0	7	2	5	3	4	1
0	1	0	0	0	0	1	2	3	0	0	0
0	1	0	0	1	0	4	2	5	16	6	5
0	1	0	0	1	0	0	1	1	0	0	1
1	2	2	0	0	0	1	3	1	0	0	0
0	1	0	0	0	0	4	3	6	6	11	11
0	1	0	0	0	0	0	1	0	0	0	0
3	2	3	0	0	0	7	7	10	9	10	9
0	1	2	0	0	0	0	2	1	1	0	0
0	1	0	0	0	0	0	1	0	0	0	0
0	1	1	0	0	1	6	2	7	3	2	5
0	1	0	0	0	0	1	2	1	1	0	0
0	1	0	0	0	0	0	1	0	0	0	0
0	1	0	0	0	0	0	1	0	0	0	0
4	3	2	0	1	1	0	1	0	0	0	1
0	1	0	0	0	0	0	1	0	0	0	0
1	1	1	0	0	1	1	1	1	4	1	1
0	1	0	0	0	0	0	1	2	1	0	0
0	1	2	0	0	0	0	1	0	1	0	0
0	1	0	0	0	0	0	1	0	0	0	0
1	2	0	0	0	0	0	1	0	0	0	0
1	4	3	5	4	4	0	1	0	0	0	0
0	1	0	0	0	0	0	1	0	0	0	0
0	1	0	0	1	0	0	1	0	0	0	0
0	1	0	0	0	0	0	1	0	2	0	2
0	1	0	0	0	0	0	1	0	0	0	1
0	1	0	0	0	0	0	0	1	0	0	0
1	2	3	4	2	3	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	1	0	1
1	1	0	0	0	0	0	0	2	0	0	0
0	1	0	1	0	0	0	0	1	1	1	0
0	1	0	0	0	0	1	0	2	2	1	1
0	1	0	0	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	0	2	1
1	1	0	2	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0	1	1	0	1
0	1	0	0	0	0	1	0	0	1	2	3
1	1	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	2	1	2
0	1	0	0	0	0	1	0	0	0	0	0
1	1	0	1	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0
0	1	0	1	0	0	1	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	1	0
0	1	1	0	0	1	1	0	0	0	0	0
0	0	2	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	1	0
1	0	2	0	0	0	1	0	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0	1
0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	1	0	0	0	0	0	0	1	0
0	0	1	1	0	0	0	0	0	0	2	0
0	0	1	0	0	0	0	0	0	0	2	0
0	0	1	0	1	1	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	3	0
0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	1	0
2	0	2	0	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	6	4	4
0	0	1	3	0	0	0	0	0	0	1	0
1	0	1	0	3	0	0	0	0	0	1	0
0	0	1	1	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0	0	1	0
0	0	1	1	0	0	0	0	0	0	1	0
0	0	1	1	0	0	0	0	0	0	1	0
0	0	1	0	0	1	0	0	0	2	0	0
0	0	1	0	0	0	0	0	0	1	0	1
1	0	4	0	0	1	0	0	0	1	0	0
0	0	1	2	0	2	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	1	0	2
0	0	1	0	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	1	0	0
0	0	1	2	1	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	0	0	2
0	0	1	0	0	0	0	0	0	0	0	1
0	0	1	0	0	0	0	0	0	0	0	2
0	0	1	0	0	0	0	0	0	0	0	1
1	0	1	1	0	0	0	0	0	0	0	1
0	0	1	0	0	0	0	0	0	0	0	1
0	0	1	0	0	0	0	0	0	0	0	1
1	0	1	0	4	1	0	0	0	0	0	1
0	0	1	0	0	0	0	0	0	0	0	1
0	0	1	0	0	1	NA	NA	NA	NA	NA	NA
5	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	2	3	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	1	1	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
0	0	1	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	1	NA	NA	NA	NA	NA	NA
1	0	0	1	2	2	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
1	0	0	0	0	0	NA	NA	NA	NA	NA	NA
