# Constructed from biom file																			
	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	ConsensusLineage
4479946	1.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__
185100	0	0.333333333	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__; s__
623634	0	0	1	0	0	2.666666667	0	0	0	0	0	49	0	0	89.33333333	0	0	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
577116	0	0.333333333	0.5	0	0	0	0	0	0.333333333	0	0	0	0	0	0.333333333	0	0	0	k__Bacteria; p__GN04; c__GN15; o__; f__; g__; s__
4298759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
511346	0	0	0	0	0	0.333333333	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
710414	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
4474667	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__; s__
929398	0	0	0.5	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0	0.333333333	1.333333333	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
4455330	1.666666667	0.333333333	0.5	0	0	0	0.333333333	0	0	0	0	0	1.666666667	0	0.333333333	0	0.333333333	1.333333333	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
4470547	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
1085229	0	0	0	0	0	0	0	0	0	0	1.333333333	0	0	0.333333333	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
4298283	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0.333333333	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__; s__
151957	39.66666667	4.666666667	0	3.333333333	0	0	0	0	0	0	8.333333333	0	0	0	0	4.333333333	0	1.666666667	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__
1134668	0.666666667	0.333333333	1.5	1	4.333333333	8.666666667	3.666666667	0	0	0	0	0.666666667	0	0	0	0	0	0.333333333	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
131444	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__
